step,waiting,running,done,machines,available,timestamp
1,49,17,1,117,90,1425636332
2,53,16,2,117,91,1425636302
3,55,16,2,117,91,1425636272
4,56,18,0,117,89,1425636242
5,60,14,4,117,93,1425636211
6,61,16,0,117,91,1425636181
7,62,16,2,117,90,1425636152
8,62,18,0,117,89,1425636122
9,62,18,0,117,89,1425636092
10,63,18,0,117,89,1425636061
11,63,18,0,117,89,1425636032
12,66,18,0,117,89,1425636002
13,69,17,1,117,90,1425635972
14,72,15,4,117,92,1425635941
15,75,17,1,117,90,1425635911
16,77,17,1,117,90,1425635881
17,78,17,1,117,90,1425635852
18,78,18,0,117,89,1425635822
19,78,18,0,117,89,1425635792
20,79,17,1,117,90,1425635762
21,79,18,0,117,89,1425635732
22,82,18,0,117,89,1425635702
23,85,15,3,117,92,1425635672
24,87,18,0,117,89,1425635642
25,88,18,0,117,89,1425635612
26,90,17,1,117,90,1425635582
27,94,15,3,117,92,1425635552
28,96,17,0,117,89,1425635522
29,96,18,0,117,89,1425635492
30,96,18,0,117,89,1425635462
31,98,16,2,117,91,1425635432
32,98,17,0,117,90,1425635402
33,100,18,0,117,89,1425635372
34,100,18,0,117,89,1425635342
35,103,18,0,117,89,1425635311
36,106,15,3,117,92,1425635281
37,109,18,0,117,89,1425635252
38,110,18,0,117,89,1425635222
39,114,16,2,117,91,1425635191
40,115,17,1,117,90,1425635162
41,116,17,1,117,90,1425635132
42,116,18,0,117,89,1425635102
43,118,17,1,117,90,1425635071
44,118,18,0,117,89,1425635041
45,118,17,0,117,90,1425635012
46,120,18,0,117,89,1425634981
47,122,17,1,117,90,1425634951
48,125,18,0,117,89,1425634921
49,127,18,0,117,89,1425634891
50,127,18,0,117,89,1425634861
51,131,17,1,117,90,1425634832
52,133,17,1,117,90,1425634802
53,134,18,0,117,89,1425634772
54,136,17,1,117,90,1425634742
55,138,18,0,117,89,1425634712
56,140,16,0,117,91,1425634682
57,140,18,0,117,89,1425634651
58,140,18,0,117,89,1425634621
59,142,18,0,117,89,1425634592
60,143,18,0,117,89,1425634562
61,145,16,2,117,91,1425634532
62,148,18,0,117,89,1425634502
63,149,18,0,117,89,1425634472
64,150,18,1,117,89,1425634442
65,153,17,1,117,90,1425634412
66,155,16,2,117,91,1425634382
67,156,17,1,117,90,1425634351
68,159,15,4,117,92,1425634321
69,159,16,2,117,90,1425634292
70,162,17,1,117,90,1425634262
71,163,18,0,117,89,1425634232
72,163,18,0,117,89,1425634202
73,164,17,1,117,90,1425634172
74,165,18,0,117,89,1425634142
75,166,18,0,117,89,1425634112
76,168,17,1,117,90,1425634082
77,169,17,1,117,90,1425634052
78,171,16,2,117,91,1425634022
79,172,17,1,117,90,1425633991
80,172,18,0,117,89,1425633962
81,174,16,2,117,91,1425633931
82,174,18,0,117,89,1425633902
83,175,17,1,117,90,1425633871
84,176,17,1,117,90,1425633841
85,176,18,0,117,89,1425633812
86,176,17,0,117,90,1425633782
87,177,18,0,117,89,1425633752
88,177,18,0,117,89,1425633722
89,177,18,0,117,89,1425633692
90,177,18,0,117,89,1425633662
91,178,18,0,117,89,1425633632
92,179,18,0,117,89,1425633602
93,179,18,0,117,89,1425633572
94,181,18,0,117,89,1425633542
95,183,17,1,117,90,1425633512
96,184,18,0,117,89,1425633482
97,184,18,0,117,89,1425633452
98,186,16,2,117,91,1425633422
99,187,17,1,117,90,1425633391
100,187,18,0,117,89,1425633361
101,188,17,1,117,90,1425633332
102,188,18,0,117,89,1425633302
103,188,18,0,117,89,1425633271
104,189,17,1,117,90,1425633241
105,190,18,0,117,89,1425633212
106,191,17,0,117,90,1425633182
107,191,18,0,117,89,1425633151
108,192,18,0,117,89,1425633122
109,194,18,0,117,89,1425633091
110,195,18,0,117,89,1425633061
111,195,18,0,117,89,1425633032
112,196,17,1,117,90,1425633002
113,197,18,0,117,89,1425632972
114,197,18,0,117,89,1425632942
115,197,18,0,117,89,1425632911
116,198,17,1,117,90,1425632881
117,198,18,0,117,89,1425632852
118,199,17,1,117,90,1425632821
119,199,18,0,117,89,1425632791
120,199,18,0,117,89,1425632762
121,200,17,1,117,90,1425632732
122,200,18,0,117,89,1425632702
123,201,17,1,117,90,1425632672
124,203,17,1,117,90,1425632642
125,204,17,1,117,90,1425632612
126,205,17,1,117,90,1425632582
127,205,17,1,117,91,1425632552
128,206,18,0,117,89,1425632522
129,208,18,0,117,89,1425632491
130,208,18,0,117,89,1425632461
131,208,18,0,117,89,1425632432
132,208,18,0,117,89,1425632402
133,209,18,0,117,89,1425632372
134,210,18,0,117,89,1425632342
135,212,16,2,117,91,1425632312
136,214,16,2,117,91,1425632282
137,214,18,0,117,89,1425632251
138,214,18,0,117,89,1425632222
139,215,17,1,117,90,1425632191
140,215,18,0,117,89,1425632161
141,215,18,0,117,89,1425632132
142,216,17,1,117,90,1425632102
143,217,17,1,117,90,1425632072
144,217,18,0,117,89,1425632042
145,218,17,1,117,90,1425632012
146,219,17,1,117,90,1425631982
147,219,18,0,117,89,1425631952
148,219,18,0,117,89,1425631922
149,219,18,0,117,89,1425631892
150,220,18,0,117,89,1425631862
151,221,18,0,117,89,1425631831
152,222,18,0,117,89,1425631801
153,223,18,0,117,89,1425631771
154,223,18,0,117,89,1425631742
155,224,17,1,117,90,1425631712
156,224,18,0,117,89,1425631682
157,225,18,0,117,89,1425631652
158,226,18,0,117,89,1425631622
159,226,18,0,117,89,1425631592
160,228,17,1,117,90,1425631561
161,228,18,0,117,89,1425631532
162,231,16,2,117,91,1425631502
163,234,15,3,117,92,1425631471
164,235,17,1,117,90,1425631441
165,235,17,0,117,90,1425631412
166,236,18,0,117,89,1425631382
167,237,18,0,117,89,1425631351
168,237,18,0,117,89,1425631321
169,237,18,0,117,89,1425631292
170,237,18,0,117,89,1425631262
171,237,18,0,117,89,1425631231
172,237,18,0,117,89,1425631201
173,238,18,0,117,89,1425631171
174,238,18,0,117,89,1425631141
175,238,18,0,117,89,1425631112
176,238,18,0,117,89,1425631082
177,239,17,1,117,90,1425631051
178,239,18,0,117,89,1425631021
179,240,17,1,117,90,1425630992
180,241,18,0,117,89,1425630962
181,241,18,0,117,89,1425630932
182,241,18,0,117,89,1425630902
183,241,18,0,117,89,1425630872
184,242,17,1,117,90,1425630842
185,244,17,1,117,90,1425630812
186,244,18,1,117,89,1425630782
187,247,16,2,117,91,1425630752
188,247,18,0,117,89,1425630722
189,247,17,0,117,90,1425630692
190,250,18,0,117,89,1425630662
191,253,18,0,117,89,1425630631
192,253,18,0,117,89,1425630601
193,254,18,0,117,89,1425630572
194,257,15,4,117,92,1425630542
195,260,16,2,117,90,1425630512
196,264,14,4,117,93,1425630481
197,264,18,0,117,89,1425630452
198,267,15,3,117,92,1425630422
199,268,15,1,117,91,1425630392
200,272,18,0,117,89,1425630362
201,272,18,0,117,89,1425630332
202,273,17,1,117,90,1425630302
203,275,16,2,117,91,1425630272
204,276,18,0,117,89,1425630242
205,279,15,3,117,92,1425630212
206,281,17,1,117,90,1425630182
207,283,16,2,117,91,1425630152
208,288,13,5,117,94,1425630122
209,290,16,2,117,91,1425630092
210,290,18,0,117,90,1425630062
211,292,18,0,117,89,1425630032
212,293,17,1,117,90,1425630002
213,293,18,0,117,89,1425629972
214,295,18,0,117,89,1425629942
215,298,18,0,117,89,1425629912
216,301,16,2,117,91,1425629882
217,306,13,5,117,94,1425629851
218,306,18,0,117,89,1425629821
219,307,17,1,117,90,1425629792
220,310,15,3,117,91,1425629762
221,311,16,0,117,91,1425629732
222,312,18,0,117,89,1425629702
223,314,16,1,117,90,1425629672
224,316,16,2,117,91,1425629642
225,319,15,3,117,92,1425629612
226,324,14,4,117,93,1425629582
227,325,17,1,117,90,1425629551
228,325,18,0,117,89,1425629522
229,326,17,1,117,90,1425629491
230,328,16,2,117,91,1425629462
231,330,16,2,117,91,1425629432
232,332,16,2,117,91,1425629402
233,332,18,0,117,89,1425629372
234,335,18,0,117,89,1425629342
235,339,17,1,117,90,1425629312
236,342,18,0,117,89,1425629282
237,343,18,0,117,89,1425629251
238,343,18,0,117,89,1425629221
239,345,18,0,117,89,1425629192
240,346,17,1,117,90,1425629162
241,346,18,0,117,89,1425629132
242,346,18,0,117,89,1425629102
243,347,17,1,117,90,1425629072
244,348,17,1,117,90,1425629042
245,350,15,0,117,92,1425629012
246,360,6,12,117,101,1425628982
247,363,18,0,117,89,1425628951
248,363,18,0,117,89,1425628921
249,363,18,0,117,89,1425628891
250,363,18,0,117,89,1425628862
251,364,17,1,117,90,1425628831
252,364,18,0,117,89,1425628801
253,364,18,0,117,89,1425628772
254,365,17,1,117,90,1425628741
255,365,18,0,117,89,1425628712
256,366,17,1,117,90,1425628682
257,369,15,0,117,93,1425628652
258,370,17,1,117,90,1425628622
259,374,16,2,117,91,1425628592
260,377,16,2,117,91,1425628562
261,379,17,1,117,90,1425628532
262,383,14,4,117,93,1425628502
263,383,18,0,117,89,1425628472
264,383,18,0,117,89,1425628442
265,383,18,0,117,89,1425628412
266,384,17,1,117,90,1425628381
267,384,18,0,117,89,1425628351
268,388,15,3,117,92,1425628321
269,389,15,2,117,93,1425628292
270,391,17,1,117,90,1425628262
271,395,17,1,117,90,1425628232
272,397,18,0,117,89,1425628202
273,398,18,0,117,89,1425628172
274,400,16,2,117,91,1425628142
275,402,17,1,117,90,1425628111
276,402,18,0,117,89,1425628081
277,403,18,0,117,89,1425628051
278,404,18,0,117,89,1425628021
279,406,17,1,117,90,1425627992
280,408,16,3,117,91,1425627962
281,409,17,1,117,91,1425627932
282,413,18,0,117,89,1425627902
283,416,18,0,117,89,1425627871
284,416,18,0,117,89,1425627842
285,418,18,0,117,89,1425627812
286,419,17,1,117,90,1425627782
287,419,18,0,117,89,1425627752
288,422,15,3,117,92,1425627722
289,424,17,2,117,90,1425627691
290,427,17,1,117,90,1425627661
291,430,16,2,117,90,1425627631
292,430,17,0,117,90,1425627601
293,432,18,0,117,89,1425627572
294,433,18,0,117,89,1425627542
295,435,18,0,117,89,1425627512
296,436,18,0,117,89,1425627482
297,438,17,1,117,90,1425627452
298,438,18,0,117,89,1425627422
299,441,16,2,117,91,1425627392
300,443,16,3,117,91,1425627362
301,447,15,3,117,92,1425627332
